;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_0048;0.495929113;0.143016919;DRO_0048;1.031157331;0.001656248;DRO_0048;1.002947771;0.0065377;DRO_0048;1.647777377;8.96E-05;DRO_0048;2.603680494;5.46E-25;DRO_0048;1.522734617;1.31E-05;DRO_0048;1.585965187;0.000107485;DRO_0048;1.903387329;1.53E-07;DRO_0048;2.434350143;6.79E-13;DRO_0048;3.163042294;6.90E-27
DRO_0049;0.193382412;0.584648757;DRO_0049;-0.397298798;0.315885167;DRO_0049;-0.278082897;0.536523143;DRO_0049;0.586270188;0.167000119;DRO_0049;1.293838606;6.80E-06;DRO_0049;0.474293691;0.114874742;DRO_0049;-0.488377042;0.240107282;DRO_0049;-0.242830995;0.500893467;DRO_0049;0.113763539;0.731284878;DRO_0049;0.824380238;0.001646409
DRO_0050;0.220444589;0.086450154;DRO_0050;0.457617864;3.65E-06;DRO_0050;0.819638618;3.22E-12;DRO_0050;1.009066693;3.33E-08;DRO_0050;2.013106039;1.27E-81;DRO_0050;0.325435949;0.002239242;DRO_0050;0.258154003;0.054560477;DRO_0050;0.426192926;0.000165976;DRO_0050;0.808439332;6.02E-12;DRO_0050;1.839037759;5.05E-71
DRO_0051;0.146826928;0.236813001;DRO_0051;0.075733952;0.526714748;DRO_0051;0.142433204;0.281347961;DRO_0051;1.107340942;1.64E-14;DRO_0051;1.333072482;2.82E-32;DRO_0051;0.439075361;0.001342115;DRO_0051;0.492841709;0.003302911;DRO_0051;0.451581392;0.00051451;DRO_0051;1.003389741;2.10E-14;DRO_0051;2.109257327;9.39E-61
DRO_0052;0.243377669;0.054077238;DRO_0052;0.173946607;0.11631808;DRO_0052;0.403143999;0.001862457;DRO_0052;1.03055681;3.29E-16;DRO_0052;0.834548502;5.54E-14;DRO_0052;0.515277152;3.22E-06;DRO_0052;0.616559936;1.31E-05;DRO_0052;0.834574486;3.53E-13;DRO_0052;0.40853829;0.00057045;DRO_0052;0.832064677;4.33E-17
DRO_0053;0.068488881;0.694741562;DRO_0053;-0.150015757;0.327509899;DRO_0053;-0.142332179;0.464525908;DRO_0053;0.987048264;1.28E-08;DRO_0053;1.283369991;1.15E-24;DRO_0053;0.132556148;0.414186484;DRO_0053;0.041273403;0.876098673;DRO_0053;0.247116773;0.103921759;DRO_0053;0.823607322;5.84E-08;DRO_0053;0.902859485;5.14E-10
DRO_0054;-0.390162259;0.034664503;DRO_0054;-1.002074356;9.03E-08;DRO_0054;-0.856560332;4.11E-05;DRO_0054;0.785310564;0.000387342;DRO_0054;1.592230307;9.77E-24;DRO_0054;-0.637482165;2.09E-05;DRO_0054;-0.931876893;2.11E-06;DRO_0054;-0.64192896;0.000146278;DRO_0054;0.134631966;0.379779726;DRO_0054;0.916160001;6.95E-15
DRO_0055;-0.339410673;0.170020622;DRO_0055;0.091754197;0.779801003;DRO_0055;0.663205493;0.00470319;DRO_0055;0.349358654;0.185230858;DRO_0055;1.216481882;3.92E-11;DRO_0055;-0.715562256;0.00034061;DRO_0055;-0.270044632;0.307310063;DRO_0055;0.139462889;0.518732422;DRO_0055;-0.290300837;0.172760421;DRO_0055;0.394773985;0.012829739
DRO_0056;0.34040842;0.060360035;DRO_0056;1.277961545;1.26E-15;DRO_0056;1.030782446;1.14E-09;DRO_0056;1.459050078;1.06E-08;DRO_0056;0.182068137;0.329990478;DRO_0056;0.809814531;2.04E-07;DRO_0056;1.064212281;2.35E-06;DRO_0056;1.127254503;5.28E-15;DRO_0056;1.038567593;2.61E-12;DRO_0056;-0.477364692;0.001872569
DRO_0057;0.008103934;0.974685627;DRO_0057;0.507899194;0.019685438;DRO_0057;0.384730123;0.092833138;DRO_0057;1.805862657;6.24E-15;DRO_0057;1.566097665;4.19E-19;DRO_0057;0.579281276;0.003159665;DRO_0057;1.201206893;1.76E-09;DRO_0057;0.987649094;3.64E-08;DRO_0057;2.133228479;1.51E-39;DRO_0057;2.298102239;1.32E-53
DRO_0058;-0.03469895;0.853330383;DRO_0058;-0.283698704;0.101414163;DRO_0058;-0.486855261;0.008902218;DRO_0058;0.058237847;0.813946184;DRO_0058;0.923320174;3.76E-11;DRO_0058;0.005264157;0.979192616;DRO_0058;0.333001071;0.081274828;DRO_0058;0.096339848;0.568439444;DRO_0058;0.679749768;5.97E-06;DRO_0058;1.566347765;1.45E-35
DRO_0059;-0.27736141;0.352831948;DRO_0059;-0.049520591;0.880438846;DRO_0059;-0.117302724;0.737178735;DRO_0059;0.099305711;0.820556723;DRO_0059;0.528011624;0.058907746;DRO_0059;0.091554206;0.766416907;DRO_0059;0.124367469;0.71694315;DRO_0059;0.162242003;0.575687801;DRO_0059;0.802436159;0.002757658;DRO_0059;1.334436919;6.31E-09
DRO_0060;-0.061577864;0.627191674;DRO_0060;-0.238244022;0.019351059;DRO_0060;-0.622044323;7.85E-07;DRO_0060;-0.276014402;0.04473917;DRO_0060;0.191747811;0.09492423;DRO_0060;0.165227842;0.160044772;DRO_0060;0.267944451;0.054936419;DRO_0060;0.076909415;0.483289551;DRO_0060;0.901319635;6.37E-14;DRO_0060;0.99250388;9.42E-17
