;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_A0345;0.768424941;9.73E-08;DRO_A0345;0.729720089;7.67E-10;DRO_A0345;0.836028992;1.05E-08;DRO_A0345;1.974214127;1.09E-45;DRO_A0345;1.418486488;4.71E-29;DRO_A0345;0.138255668;0.334606645;DRO_A0345;0.528650697;0.001849647;DRO_A0345;0.655871691;2.52E-08;DRO_A0345;0.619500908;3.50E-06;DRO_A0345;1.556213554;1.05E-49
DRO_A0346;-0.992735479;3.07E-05;DRO_A0346;-1.284939953;9.89E-07;DRO_A0346;-1.580748078;1.98E-07;DRO_A0346;-0.868789047;0.003724238;DRO_A0346;-0.35383956;0.140931283;DRO_A0346;-1.547586147;1.52E-10;DRO_A0346;-1.327832897;3.92E-07;DRO_A0346;-0.931708307;4.97E-05;DRO_A0346;-1.775345388;1.09E-13;DRO_A0346;-1.343310253;1.31E-09
DRO_A0347;-0.664716426;0.002172407;DRO_A0347;-1.68178006;2.64E-10;DRO_A0347;-2.47918811;1.00E-13;DRO_A0347;-2.364874987;1.36E-10;DRO_A0347;-1.266672719;2.94E-09;DRO_A0347;-1.515800992;6.05E-17;DRO_A0347;-1.106547972;1.88E-07;DRO_A0347;-1.538609538;1.27E-17;DRO_A0347;-2.876492525;2.13E-45;DRO_A0347;-2.351246602;2.82E-43
DRO_A0348;-0.643490974;0.000703585;DRO_A0348;-1.851431088;4.94E-33;DRO_A0348;-2.249816279;6.10E-30;DRO_A0348;-2.61218156;4.58E-33;DRO_A0348;-1.402165279;2.60E-22;DRO_A0348;-1.446513283;2.51E-25;DRO_A0348;-1.00021357;4.56E-06;DRO_A0348;-1.96326479;1.60E-45;DRO_A0348;-3.539956688;5.59E-118;DRO_A0348;-2.553416541;1.90E-74
DRO_A0349;-0.251973356;0.061834016;DRO_A0349;-1.185883176;1.36E-20;DRO_A0349;-1.393670934;1.69E-21;DRO_A0349;-1.632924497;3.31E-18;DRO_A0349;0.096942786;0.48544979;DRO_A0349;-1.389736551;2.19E-34;DRO_A0349;-0.972161405;3.43E-10;DRO_A0349;-1.652984859;6.44E-36;DRO_A0349;-2.661318526;1.80E-100;DRO_A0349;-1.611980907;2.18E-50
DRO_A0350;0.719100049;5.79E-07;DRO_A0350;0.368126913;0.012304855;DRO_A0350;0.320376326;0.037324981;DRO_A0350;0.249676134;0.153771841;DRO_A0350;1.18193825;3.52E-19;DRO_A0350;-0.674193703;2.24E-09;DRO_A0350;-0.139309097;0.538875183;DRO_A0350;-0.601381433;1.64E-07;DRO_A0350;-1.404271489;7.52E-32;DRO_A0350;-0.284496068;0.004627548
DRO_A0351;-0.068403673;0.638107838;DRO_A0351;-0.404541491;0.001734993;DRO_A0351;-0.787847244;2.45E-07;DRO_A0351;-1.282459047;9.72E-14;DRO_A0351;-0.813154246;1.27E-10;DRO_A0351;-0.501510516;2.30E-05;DRO_A0351;-0.25741028;0.157144038;DRO_A0351;-0.541937048;4.54E-06;DRO_A0351;-1.298776918;6.29E-22;DRO_A0351;-1.055965696;8.19E-21
DRO_A0352;0.084245159;0.605415787;DRO_A0352;-0.172122658;0.254128429;DRO_A0352;-0.716183213;1.44E-05;DRO_A0352;-1.508963195;3.17E-13;DRO_A0352;-0.542823871;0.000169474;DRO_A0352;-0.752618103;3.25E-09;DRO_A0352;-0.077937641;0.746971488;DRO_A0352;-0.645840214;2.42E-05;DRO_A0352;-1.915034426;4.44E-47;DRO_A0352;-1.323153881;3.67E-31
DRO_A0353;-0.012076276;0.934327089;DRO_A0353;-0.632773578;2.32E-06;DRO_A0353;-1.113824778;8.30E-13;DRO_A0353;-1.885032553;4.76E-16;DRO_A0353;-0.114466295;0.490128832;DRO_A0353;-0.559980181;4.73E-07;DRO_A0353;-0.416493728;0.01053117;DRO_A0353;-0.938910236;2.38E-16;DRO_A0353;-1.412133275;1.83E-27;DRO_A0353;-0.351370702;0.000503709
DRO_A0354;0.092586848;0.617791559;DRO_A0354;-0.273088325;0.154112693;DRO_A0354;-0.846711553;2.80E-05;DRO_A0354;-0.086054759;0.718777368;DRO_A0354;0.896313948;6.91E-10;DRO_A0354;0.044085867;0.830346872;DRO_A0354;0.212007393;0.259818451;DRO_A0354;0.096561547;0.545285589;DRO_A0354;0.26947303;0.0798793;DRO_A0354;0.943400859;1.45E-13
DRO_A0355;0.751353435;0.000204346;DRO_A0355;0.445347016;0.063264535;DRO_A0355;0.077642584;0.764909301;DRO_A0355;0.827123596;0.000834083;DRO_A0355;2.109810293;4.89E-35;DRO_A0355;0.172906243;0.483603975;DRO_A0355;0.297761345;0.251531443;DRO_A0355;0.32183296;0.164115084;DRO_A0355;1.074358744;2.97E-08;DRO_A0355;1.793063661;4.21E-25
DRO_A0356;1.04462797;1.20E-18;DRO_A0356;1.86136765;5.86E-62;DRO_A0356;1.681205552;1.31E-36;DRO_A0356;2.358548992;0.00183599;DRO_A0356;1.117927024;7.98E-20;DRO_A0356;0.648065055;2.88E-08;DRO_A0356;1.202499899;3.77E-20;DRO_A0356;1.96230778;8.84E-75;DRO_A0356;1.539701668;3.11E-38;DRO_A0356;0.569073512;4.83E-08
DRO_A0357;0.442088029;9.23E-05;DRO_A0357;0.439999639;7.03E-05;DRO_A0357;0.455220043;0.000892053;DRO_A0357;1.330917745;0.061505217;DRO_A0357;0.698342156;2.71E-08;DRO_A0357;0.306257016;0.018345186;DRO_A0357;0.446133781;0.005771276;DRO_A0357;0.833305721;3.12E-13;DRO_A0357;0.888006982;1.73E-13;DRO_A0357;0.607872133;2.70E-07
DRO_A0358;0.472765485;0.000986436;DRO_A0358;0.166003919;0.292206829;DRO_A0358;-0.20698862;0.266781747;DRO_A0358;0.209314989;0.621414194;DRO_A0358;-0.149510212;0.31016932;DRO_A0358;0.248610493;0.128094349;DRO_A0358;0.121082515;0.596910527;DRO_A0358;0.321038335;0.033090275;DRO_A0358;0.382859215;0.017124067;DRO_A0358;0.232806502;0.119770525
DRO_A0359;0.536211185;0.002756041;DRO_A0359;0.027639131;0.87577851;DRO_A0359;-0.145003094;0.439437389;DRO_A0359;0.124569052;0.756382858;DRO_A0359;0.163261464;0.290656433;DRO_A0359;0.072517347;0.661020389;DRO_A0359;0.290618242;0.084886183;DRO_A0359;-0.37950923;0.010198546;DRO_A0359;0.006689169;0.970566646;DRO_A0359;0.073541302;0.604026601
DRO_A0360;1.259354593;1.40E-10;DRO_A0360;2.950547684;1.72E-44;DRO_A0360;2.428521473;8.25E-22;DRO_A0360;1.989537138;1.73E-14;DRO_A0360;0.594328735;0.00044629;DRO_A0360;1.520589089;3.30E-21;DRO_A0360;1.597778794;8.40E-23;DRO_A0360;1.062195222;5.50E-14;DRO_A0360;2.064992774;2.16E-47;DRO_A0360;1.110211541;2.16E-14
DRO_A0361;0.199463398;0.355115466;DRO_A0361;-0.184697326;0.371195;DRO_A0361;-0.752253524;0.001265785;DRO_A0361;-0.691577716;0.004491318;DRO_A0361;0.349415824;0.063691668;DRO_A0361;-0.273141832;0.323033548;DRO_A0361;-1.096119594;6.87E-05;DRO_A0361;-1.736392338;5.41E-10;DRO_A0361;-0.625217837;0.006942113;DRO_A0361;0.392365519;0.040273525
DRO_A0362;0.876145969;1.58E-07;DRO_A0362;0.935244489;6.79E-08;DRO_A0362;0.863203737;7.40E-06;DRO_A0362;0.347171483;0.11164359;DRO_A0362;0.690021086;5.67E-05;DRO_A0362;0.067269019;0.788778405;DRO_A0362;0.001640569;0.995188097;DRO_A0362;-0.709531562;0.002716776;DRO_A0362;-0.162180632;0.482853285;DRO_A0362;0.984281;4.17E-08
DRO_A0363;0.644379791;6.59E-09;DRO_A0363;1.202727049;3.15E-32;DRO_A0363;1.188969558;1.49E-22;DRO_A0363;0.952743997;6.12E-12;DRO_A0363;0.842744658;1.01E-08;DRO_A0363;-0.031066662;0.819012419;DRO_A0363;-0.390648078;0.002328306;DRO_A0363;-0.735483518;2.15E-13;DRO_A0363;0.087752825;0.473190879;DRO_A0363;0.666654372;2.39E-12
DRO_A0364;-0.044205235;0.706148265;DRO_A0364;0.740545198;2.22E-16;DRO_A0364;1.151802495;1.87E-25;DRO_A0364;1.367287636;1.26E-22;DRO_A0364;0.669822373;2.92E-07;DRO_A0364;-0.421477772;4.66E-05;DRO_A0364;-0.434586379;0.007478016;DRO_A0364;-0.281443622;0.003345751;DRO_A0364;0.382213888;0.001136577;DRO_A0364;0.308667;0.000697124
DRO_A0365;1.792311242;3.87E-42;DRO_A0365;2.737860237;6.39E-130;DRO_A0365;2.506943227;3.75E-73;DRO_A0365;3.05489449;6.32E-95;DRO_A0365;3.287585469;1.07E-142;DRO_A0365;1.087742184;3.55E-28;DRO_A0365;1.730241333;3.07E-28;DRO_A0365;2.642041299;5.17E-147;DRO_A0365;3.298545717;1.24E-211;DRO_A0365;2.17313368;1.48E-82
DRO_B0001;-0.886943782;1.70E-15;DRO_B0001;-0.713167852;3.60E-10;DRO_B0001;-0.713055428;4.22E-08;DRO_B0001;-0.534156207;0.006587122;DRO_B0001;-0.252597152;0.030935857;DRO_B0001;-0.577454897;1.47E-08;DRO_B0001;-0.461077327;0.000152708;DRO_B0001;-0.390138153;1.72E-05;DRO_B0001;-0.797980529;2.25E-14;DRO_B0001;-1.209663305;5.91E-39
DRO_B0002;-0.940848787;1.68E-19;DRO_B0002;-0.838395791;2.42E-14;DRO_B0002;-0.759655058;7.80E-10;DRO_B0002;-0.883503896;5.15E-06;DRO_B0002;-0.633831992;3.60E-09;DRO_B0002;-0.838294122;1.15E-18;DRO_B0002;-0.666007598;8.95E-06;DRO_B0002;-0.616521481;1.10E-10;DRO_B0002;-1.06221969;1.49E-16;DRO_B0002;-1.33381592;2.03E-36
DRO_B0003;0.505701674;1.23E-05;DRO_B0003;0.676453535;6.19E-10;DRO_B0003;0.483145559;0.003791005;DRO_B0003;0.184997519;0.255925088;DRO_B0003;0.361675294;0.007448295;DRO_B0003;-0.248893783;0.080145804;DRO_B0003;-0.145953481;0.426426202;DRO_B0003;0.044904588;0.748377406;DRO_B0003;0.256530031;0.073982057;DRO_B0003;0.058333688;0.664780334
DRO_B0004;-0.250105796;0.087810283;DRO_B0004;-0.71355517;6.80E-08;DRO_B0004;-0.739028728;2.24E-07;DRO_B0004;0.278003493;0.104711229;DRO_B0004;1.05879496;4.15E-15;DRO_B0004;-0.442798903;0.000678072;DRO_B0004;-0.273382879;0.094702627;DRO_B0004;0.087504919;0.536910053;DRO_B0004;0.698501056;9.99E-08;DRO_B0004;0.762783595;1.35E-10
DRO_B0005;-0.314289065;0.190161574;DRO_B0005;-1.034327774;9.26E-05;DRO_B0005;-0.586995066;0.028976233;DRO_B0005;-0.338513516;0.247064581;DRO_B0005;0.927048223;7.02E-07;DRO_B0005;-0.57508547;0.017362461;DRO_B0005;-0.596354325;0.044423504;DRO_B0005;-0.525156902;0.025997275;DRO_B0005;-0.340163166;0.130159004;DRO_B0005;0.426110548;0.024314859
DRO_B0006;-0.192266674;0.338517064;DRO_B0006;0.455990077;0.003027408;DRO_B0006;0.494374325;0.004122948;DRO_B0006;-0.606081605;0.014130987;DRO_B0006;-0.689933939;0.000127953;DRO_B0006;-0.914014805;8.00E-12;DRO_B0006;-0.765536341;3.53E-05;DRO_B0006;-0.862128395;1.08E-14;DRO_B0006;-2.797492589;1.87E-72;DRO_B0006;-2.782377139;6.93E-138
DRO_B0007;0.00855995;0.973114256;DRO_B0007;0.738347892;8.71E-05;DRO_B0007;0.733397484;0.000204544;DRO_B0007;-0.507918908;0.051738385;DRO_B0007;-0.393219693;0.046256703;DRO_B0007;-0.774241206;5.78E-07;DRO_B0007;-0.465492484;0.09413279;DRO_B0007;-0.606328265;0.000342624;DRO_B0007;-2.633868637;6.64E-58;DRO_B0007;-2.206296881;1.72E-51
DRO_B0008;0.106449496;0.640725881;DRO_B0008;0.614542333;2.88E-05;DRO_B0008;0.10492471;0.619979544;DRO_B0008;-1.119427162;1.34E-09;DRO_B0008;-0.405543014;0.014816388;DRO_B0008;-0.609296696;9.34E-05;DRO_B0008;-0.557181748;0.009569244;DRO_B0008;-1.391551109;5.79E-24;DRO_B0008;-2.873187219;1.34E-68;DRO_B0008;-1.932855053;1.13E-35
DRO_B0009;0.098922401;0.599441185;DRO_B0009;0.367283645;0.004799884;DRO_B0009;-0.483019519;0.003922728;DRO_B0009;-1.034796624;4.65E-10;DRO_B0009;-0.472113799;0.000865092;DRO_B0009;-0.408991429;0.013530911;DRO_B0009;-0.257916326;0.330404022;DRO_B0009;-1.801815479;1.77E-36;DRO_B0009;-2.808220674;9.99E-75;DRO_B0009;-1.527763404;5.42E-29
DRO_B0010;0.21193048;0.193428971;DRO_B0010;0.012849125;0.939181694;DRO_B0010;-0.92826436;1.34E-06;DRO_B0010;-1.246895299;2.81E-11;DRO_B0010;-0.629755299;1.13E-06;DRO_B0010;-0.100942227;0.589681229;DRO_B0010;-0.302063551;0.114743825;DRO_B0010;-1.737070726;1.31E-32;DRO_B0010;-2.089771092;2.88E-44;DRO_B0010;-0.984271384;7.86E-12
DRO_B0013;-0.147306399;0.274789103;DRO_B0013;-0.449634056;1.09E-05;DRO_B0013;-0.701974508;2.19E-09;DRO_B0013;0.127552827;0.438131192;DRO_B0013;-1.069609261;1.14E-13;DRO_B0013;0.067512065;0.616604668;DRO_B0013;-0.1689287;0.298049421;DRO_B0013;-0.645236176;5.22E-07;DRO_B0013;-1.083204673;1.26E-19;DRO_B0013;-2.145925558;2.91E-75
DRO_B0014;-0.135811987;0.340817389;DRO_B0014;-0.179106418;0.259001534;DRO_B0014;-0.123827064;0.363326429;DRO_B0014;0.769351418;9.70E-07;DRO_B0014;-0.715834478;8.83E-07;DRO_B0014;0.204362175;0.110553161;DRO_B0014;0.317789269;0.038351068;DRO_B0014;-0.164329743;0.218319597;DRO_B0014;-0.509194385;0.000138064;DRO_B0014;-1.967213275;2.23E-65
DRO_B0015;0.472277852;3.33E-05;DRO_B0015;0.786953414;6.44E-11;DRO_B0015;2.492818938;1.70E-41;DRO_B0015;3.058641365;4.80E-62;DRO_B0015;3.725964776;2.49E-290;DRO_B0015;0.497792342;4.56E-07;DRO_B0015;0.8386585;2.48E-07;DRO_B0015;2.537685244;2.02E-117;DRO_B0015;3.290862711;5.45E-140;DRO_B0015;3.10695398;5.80E-211
DRO_B0016;0.011290301;0.94175556;DRO_B0016;0.075863171;0.638066184;DRO_B0016;2.935381197;3.03E-65;DRO_B0016;3.41948707;1.41E-93;DRO_B0016;3.948147803;2.84E-193;DRO_B0016;-0.282379208;0.062946901;DRO_B0016;0.231433204;0.261796976;DRO_B0016;2.534873287;5.37E-73;DRO_B0016;2.399241452;2.61E-71;DRO_B0016;2.978044218;9.06E-110
DRO_B0017;-0.324671078;0.035771669;DRO_B0017;-0.163508706;0.316676786;DRO_B0017;2.875746684;6.65E-55;DRO_B0017;3.154774738;1.06E-85;DRO_B0017;3.025270638;1.04E-75;DRO_B0017;-0.258010542;0.148484562;DRO_B0017;0.35666993;0.180989994;DRO_B0017;2.89047774;2.19E-53;DRO_B0017;2.466298935;7.76E-52;DRO_B0017;2.560707286;5.57E-70
DRO_B0018;-0.622793039;2.30E-06;DRO_B0018;-0.659404448;7.75E-09;DRO_B0018;1.714359793;5.79E-34;DRO_B0018;2.089901052;4.32E-46;DRO_B0018;1.512602602;3.48E-31;DRO_B0018;-0.602676611;2.45E-07;DRO_B0018;-0.37850421;0.005755139;DRO_B0018;1.742935299;9.83E-54;DRO_B0018;1.174469136;2.75E-21;DRO_B0018;0.757424853;1.01E-11
DRO_B0021;-0.129436971;0.539721466;DRO_B0021;-0.174118207;0.40716917;DRO_B0021;-0.141808046;0.552605369;DRO_B0021;0.030705256;0.935426695;DRO_B0021;0.870398708;8.37E-07;DRO_B0021;-0.328445527;0.078853637;DRO_B0021;-0.208690051;0.371604139;DRO_B0021;-0.272540855;0.176506593;DRO_B0021;0.099620927;0.583580731;DRO_B0021;-0.21338389;0.188915325
DRO_B0022;-0.51132562;0.050727515;DRO_B0022;-0.791351257;0.004869121;DRO_B0022;-0.575662401;0.03741252;DRO_B0022;0.789754417;0.006357531;DRO_B0022;0.557617371;0.017325667;DRO_B0022;-0.300518196;0.13187511;DRO_B0022;-0.225187972;0.440828106;DRO_B0022;-0.273905508;0.191613608;DRO_B0022;0.116916656;0.537326509;DRO_B0022;-0.416520003;0.01655033
DRO_B0023;-0.676323191;0.001737253;DRO_B0023;-1.091876908;7.24E-05;DRO_B0023;-0.282401472;0.238863511;DRO_B0023;0.369190138;0.119955648;DRO_B0023;-0.162713521;0.435150901;DRO_B0023;-0.444971149;0.022719746;DRO_B0023;0.023442859;0.925189371;DRO_B0023;0.130990333;0.455317532;DRO_B0023;-0.444574556;0.01090785;DRO_B0023;-0.044476694;0.793008305
DRO_B0024;-0.739394405;2.28E-08;DRO_B0024;-1.28145687;9.93E-29;DRO_B0024;-1.518148133;9.84E-25;DRO_B0024;-0.767983397;1.45E-05;DRO_B0024;-1.031418773;5.79E-20;DRO_B0024;-0.329342638;0.005772007;DRO_B0024;-0.520227022;0.0010418;DRO_B0024;-0.784896488;5.36E-13;DRO_B0024;-0.328902435;0.006929447;DRO_B0024;-1.460083238;1.01E-42
DRO_B0025;0.111380534;0.529020154;DRO_B0025;1.278541375;4.52E-26;DRO_B0025;0.995526319;8.20E-15;DRO_B0025;0.06939292;0.765197947;DRO_B0025;-0.816655337;1.10E-09;DRO_B0025;0.598303767;7.66E-07;DRO_B0025;1.543235281;1.09E-29;DRO_B0025;1.999492994;1.16E-71;DRO_B0025;0.787487541;5.10E-10;DRO_B0025;-0.785351521;2.13E-10
DRO_B0026;-0.778160084;7.47E-12;DRO_B0026;-0.844757473;1.91E-15;DRO_B0026;-1.328802252;2.60E-26;DRO_B0026;-1.787319592;7.11E-36;DRO_B0026;-1.37507096;5.25E-27;DRO_B0026;0.176522914;0.1376576;DRO_B0026;0.053209213;0.721959363;DRO_B0026;-0.565846041;2.42E-07;DRO_B0026;0.06945539;0.626412488;DRO_B0026;-0.808312342;2.75E-14
DRO_B0027;-0.890147091;1.10E-08;DRO_B0027;-1.402887164;6.36E-18;DRO_B0027;-1.819244651;1.86E-21;DRO_B0027;-2.116428746;2.18E-24;DRO_B0027;-1.109074036;2.22E-11;DRO_B0027;-0.178669465;0.175366533;DRO_B0027;-0.613406653;0.000472586;DRO_B0027;-1.701749778;2.36E-37;DRO_B0027;-0.304882791;0.017200096;DRO_B0027;0.058651219;0.652217654
DRO_B0028;-0.738673021;0.00012747;DRO_B0028;-1.717883536;4.63E-13;DRO_B0028;-1.847771833;2.63E-15;DRO_B0028;-2.144517695;2.59E-14;DRO_B0028;-0.917217621;1.25E-05;DRO_B0028;-0.331521862;0.03568933;DRO_B0028;-0.620720278;0.033211937;DRO_B0028;-1.899353436;8.64E-26;DRO_B0028;-0.428839649;0.011190108;DRO_B0028;0.229872373;0.160397289
DRO_B0029;-0.290704002;0.162700631;DRO_B0029;-0.399669804;0.013039859;DRO_B0029;-1.11580027;1.40E-09;DRO_B0029;-1.037989338;1.22E-05;DRO_B0029;-0.958785841;1.66E-07;DRO_B0029;0.226477007;0.096968116;DRO_B0029;0.267470458;0.175870549;DRO_B0029;-1.111232513;4.65E-15;DRO_B0029;-0.000808488;0.997455652;DRO_B0029;0.716057518;4.47E-09
DRO_B0030;-0.471692033;2.94E-06;DRO_B0030;-0.602748345;5.79E-06;DRO_B0030;-1.488221392;1.55E-33;DRO_B0030;-1.169381893;2.05E-20;DRO_B0030;-0.900464978;9.96E-17;DRO_B0030;0.412432715;5.63E-05;DRO_B0030;-0.073701428;0.7031745;DRO_B0030;-1.540863562;2.10E-32;DRO_B0030;-0.703122237;2.12E-09;DRO_B0030;-0.247993569;0.024359832
DRO_B0031;-0.544235517;4.34E-08;DRO_B0031;-1.124757118;1.99E-33;DRO_B0031;-1.341441932;4.81E-32;DRO_B0031;-1.060570249;2.46E-18;DRO_B0031;-0.980089672;1.08E-20;DRO_B0031;0.185133166;0.057496965;DRO_B0031;-0.387985988;0.001606383;DRO_B0031;-1.18202304;3.88E-35;DRO_B0031;-1.330174845;4.46E-33;DRO_B0031;-1.132077327;1.47E-37
DRO_B0032;-0.537700034;1.65E-05;DRO_B0032;-0.788686653;1.41E-12;DRO_B0032;-0.461356375;0.002283143;DRO_B0032;-0.263122936;0.076875261;DRO_B0032;-1.731445764;9.39E-39;DRO_B0032;-0.031224185;0.830346872;DRO_B0032;-0.043763599;0.800838395;DRO_B0032;0.159179703;0.176890709;DRO_B0032;-0.878979786;5.41E-11;DRO_B0032;-1.90649293;2.95E-66
DRO_B0033;0.010400608;0.94741629;DRO_B0033;-0.100359133;0.45813715;DRO_B0033;0.26419543;0.109226505;DRO_B0033;0.589001733;0.000294524;DRO_B0033;-1.14414727;2.16E-14;DRO_B0033;0.514025645;9.01E-07;DRO_B0033;0.215666916;0.255950832;DRO_B0033;0.559127683;3.17E-08;DRO_B0033;-0.398021624;0.00559518;DRO_B0033;-1.383887424;8.93E-37
DRO_B0034;-0.470754125;0.010721383;DRO_B0034;-1.084725367;3.10E-08;DRO_B0034;-0.869443199;2.74E-05;DRO_B0034;-0.035942127;0.881134989;DRO_B0034;0.702822105;9.10E-06;DRO_B0034;-0.234328215;0.288422932;DRO_B0034;-0.41551934;0.058662685;DRO_B0034;-0.178528135;0.334871309;DRO_B0034;0.498057698;0.00519384;DRO_B0034;0.251172475;0.124324081
DRO_B0035;0.377355445;0.028643857;DRO_B0035;0.648143186;0.00066434;DRO_B0035;1.632941832;3.67E-18;DRO_B0035;1.835341554;7.69E-16;DRO_B0035;1.515692075;1.05E-16;DRO_B0035;0.110939389;0.49879876;DRO_B0035;0.813889917;0.000360695;DRO_B0035;1.318429191;8.93E-16;DRO_B0035;0.880753504;5.56E-06;DRO_B0035;0.343416034;0.016190297
DRO_B0036;-0.086235477;0.455955086;DRO_B0036;0.195712066;0.13381706;DRO_B0036;0.84576195;6.73E-11;DRO_B0036;0.05497508;0.717603967;DRO_B0036;0.367406944;0.001050367;DRO_B0036;-0.182206424;0.062737741;DRO_B0036;0.590327212;3.54E-07;DRO_B0036;1.187442041;1.28E-41;DRO_B0036;-0.137194565;0.229947432;DRO_B0036;-0.326770162;0.001089584
DRO_B0037;-0.660575749;1.95E-09;DRO_B0037;-0.611351746;2.15E-07;DRO_B0037;-0.409742613;0.002677742;DRO_B0037;-0.190709551;0.158280173;DRO_B0037;0.088934436;0.486699808;DRO_B0037;-0.577034347;1.11E-07;DRO_B0037;-0.245355156;0.106395787;DRO_B0037;0.133619372;0.25085613;DRO_B0037;-0.094445988;0.50553957;DRO_B0037;-0.62574694;1.88E-10
DRO_B0038;-0.124910097;0.32521751;DRO_B0038;-0.266822807;0.013727593;DRO_B0038;-0.607410994;6.06E-05;DRO_B0038;-0.041220413;0.818948235;DRO_B0038;-0.273900034;0.037799649;DRO_B0038;0.104086084;0.400362666;DRO_B0038;0.291086162;0.057873146;DRO_B0038;0.31763781;0.002440313;DRO_B0038;0.18494625;0.163820436;DRO_B0038;-0.839240161;5.01E-16
DRO_B0039;-0.310777567;0.070722848;DRO_B0039;-0.326913593;0.075303798;DRO_B0039;0.04885913;0.802004361;DRO_B0039;0.405896071;0.060275518;DRO_B0039;0.53600995;0.000933181;DRO_B0039;-0.297261077;0.135604831;DRO_B0039;0.191839332;0.384616174;DRO_B0039;0.904347911;5.87E-09;DRO_B0039;1.235413416;1.57E-15;DRO_B0039;1.136417902;1.49E-16
DRO_B0040;0.675639749;0.003085356;DRO_B0040;0.662465233;0.003693379;DRO_B0040;0.452079911;0.067582374;DRO_B0040;0.990055405;7.76E-05;DRO_B0040;1.697889841;6.48E-15;DRO_B0040;1.29148249;1.58E-09;DRO_B0040;1.553470125;3.15E-13;DRO_B0040;0.181152878;0.429457713;DRO_B0040;1.481844876;2.67E-14;DRO_B0040;1.177576538;2.85E-10
DRO_B0041;-1.030325243;5.36E-10;DRO_B0041;-1.144351562;1.98E-15;DRO_B0041;-1.487582371;6.08E-20;DRO_B0041;-2.064308211;2.42E-32;DRO_B0041;-1.932456403;2.53E-39;DRO_B0041;-1.826006824;8.47E-73;DRO_B0041;-1.473922167;1.69E-19;DRO_B0041;-1.592563863;1.63E-40;DRO_B0041;-3.172332767;2.27E-152;DRO_B0041;-2.743146482;6.64E-148
DRO_B0042;-0.813061044;1.60E-09;DRO_B0042;-0.970379884;8.41E-13;DRO_B0042;-1.477776336;3.36E-19;DRO_B0042;-1.648536092;1.49E-16;DRO_B0042;-1.210602658;1.73E-17;DRO_B0042;-1.210405451;3.10E-20;DRO_B0042;-1.07043453;1.28E-12;DRO_B0042;-1.164726811;7.38E-21;DRO_B0042;-1.928041797;2.56E-44;DRO_B0042;-1.148079324;7.68E-22
DRO_B0043;-0.391164326;0.009384192;DRO_B0043;-1.128514609;1.91E-17;DRO_B0043;-1.280952635;1.41E-17;DRO_B0043;-1.503110764;3.28E-09;DRO_B0043;-0.308981497;0.019859423;DRO_B0043;-1.114097998;1.23E-14;DRO_B0043;-0.729971933;4.62E-06;DRO_B0043;-1.047186206;9.87E-16;DRO_B0043;-1.862949025;2.85E-44;DRO_B0043;-0.464849869;0.000117384
DRO_B0044;-0.1282573;0.308029537;DRO_B0044;-0.47346115;2.34E-05;DRO_B0044;-0.45695606;0.000603865;DRO_B0044;-0.389744614;0.005745167;DRO_B0044;0.546837284;2.63E-06;DRO_B0044;-0.177612719;0.099119983;DRO_B0044;0.037836132;0.833509728;DRO_B0044;0.346947097;0.000308808;DRO_B0044;0.723435217;2.72E-11;DRO_B0044;1.277033387;9.24E-44
DRO_B0045;0.445561599;0.00256522;DRO_B0045;0.694421603;1.35E-06;DRO_B0045;0.901424775;4.93E-08;DRO_B0045;1.597887217;5.72E-23;DRO_B0045;2.733397593;1.24E-89;DRO_B0045;-0.024461354;0.897038848;DRO_B0045;0.653418022;0.000924429;DRO_B0045;1.386907699;1.08E-26;DRO_B0045;1.456978873;3.98E-26;DRO_B0045;1.740214017;3.38E-48
DRO_B0046;-0.547041607;0.000256136;DRO_B0046;-0.180084584;0.230883902;DRO_B0046;-0.295995552;0.070660706;DRO_B0046;0.535869026;0.00218099;DRO_B0046;1.171187903;9.61E-16;DRO_B0046;-0.430391801;0.002314453;DRO_B0046;0.247046333;0.125744876;DRO_B0046;0.38478137;0.001067572;DRO_B0046;1.467372011;1.99E-20;DRO_B0046;1.122750516;7.12E-23
DRO_B0047;-0.108493338;0.44164541;DRO_B0047;-0.491464893;4.28E-05;DRO_B0047;-0.003218127;0.985006229;DRO_B0047;0.41005426;0.009934108;DRO_B0047;1.016688585;2.05E-15;DRO_B0047;-0.585773279;7.09E-06;DRO_B0047;-0.084895448;0.659451587;DRO_B0047;0.497704326;3.45E-05;DRO_B0047;0.547955263;1.99E-05;DRO_B0047;0.656940669;1.09E-08
DRO_B0048;0.24344871;0.126741362;DRO_B0048;-0.508385334;9.63E-05;DRO_B0048;-0.530429143;0.00091692;DRO_B0048;-0.123388989;0.537689058;DRO_B0048;0.563075836;2.13E-05;DRO_B0048;0.007947141;0.962734707;DRO_B0048;0.226123564;0.230718862;DRO_B0048;0.2194835;0.064370373;DRO_B0048;0.273003221;0.028037444;DRO_B0048;0.004799913;0.963488709
